Sport,Discipline,Event
Rowing,NAN,Lightweight Men's Double Sculls
Rowing,NAN,Lightweight Men's Double Sculls Team
Rowing,NAN,Lightweight Women's Double Sculls
Rowing,NAN,Lightweight Women's Double Sculls Team
Rowing,NAN,Men's Double Sculls
Rowing,NAN,Men's Double Sculls Team
Rowing,NAN,Men's Eight
Rowing,NAN,Men's Eight Team
Rowing,NAN,Men's Four
Rowing,NAN,Men's Four Team
Rowing,NAN,Men's Pair
Rowing,NAN,Men's Pair Team
Rowing,NAN,Men's Quadruple Sculls
Rowing,NAN,Men's Quadruple Sculls Team
Rowing,NAN,Men's Single Sculls
Rowing,NAN,Rowing Men's 17-Man Naval Rowing Boats
Rowing,NAN,Rowing Men's 6-Man Naval Rowing Boats
Rowing,NAN,Rowing Men's Coxed Eights
Rowing,NAN,Rowing Men's Coxed Fours
Rowing,NAN,"Rowing Men's Coxed Fours, Inriggers"
Rowing,NAN,"Rowing Men's Coxed Fours, Outriggers"
Rowing,NAN,Rowing Men's Coxed Pairs
Rowing,NAN,Rowing Men's Coxed Pairs (1 kilometres)
Rowing,NAN,Rowing Men's Coxed Pairs (1 mile)
Rowing,NAN,Rowing Men's Coxless Fours
Rowing,NAN,Rowing Men's Coxless Pairs
Rowing,NAN,Rowing Men's Double Sculls
Rowing,NAN,Rowing Men's Lightweight Coxless Fours
Rowing,NAN,Rowing Men's Lightweight Double Sculls
Rowing,NAN,Rowing Men's Quadruple Sculls
Rowing,NAN,Rowing Men's Single Sculls
Rowing,NAN,Rowing Women's Coxed Eights
Rowing,NAN,Rowing Women's Coxed Fours
Rowing,NAN,Rowing Women's Coxed Quadruple Sculls
Rowing,NAN,Rowing Women's Coxless Fours
Rowing,NAN,Rowing Women's Coxless Pairs
Rowing,NAN,Rowing Women's Double Sculls
Rowing,NAN,Rowing Women's Lightweight Double Sculls
Rowing,NAN,Rowing Women's Quadruple Sculls
Rowing,NAN,Rowing Women's Single Sculls
Rowing,NAN,Women's Double Sculls
Rowing,NAN,Women's Double Sculls Team
Rowing,NAN,Women's Eight
Rowing,NAN,Women's Eight Team
Rowing,NAN,Women's Four
Rowing,NAN,Women's Four Team
Rowing,NAN,Women's Pair
Rowing,NAN,Women's Pair Team
Rowing,NAN,Women's Quadruple Sculls
Rowing,NAN,Women's Quadruple Sculls Team
Rowing,NAN,Women's Single Sculls
Rugby,NAN,Rugby Men's Rugby
Rugby Sevens,NAN,Men
Rugby Sevens,NAN,Men Team
Rugby Sevens,NAN,Rugby Sevens Men's Rugby Sevens
Rugby Sevens,NAN,Rugby Sevens Women's Rugby Sevens
Rugby Sevens,NAN,Women
Rugby Sevens,NAN,Women Team
Rugby Sevens,NaN,Rugby Sevens Women's Rugby Sevens
Sailing,NAN,Men's Dinghy
Sailing,NAN,Men's Kite
Sailing,NAN,Men's One Person Dinghy (Heavyweight) - Finn
Sailing,NAN,Men's One Person Dinghy - Laser
Sailing,NAN,Men's Skiff
Sailing,NAN,Men's Skiff - 49er Team
Sailing,NAN,Men's Two Person Dinghy - 470 Team
Sailing,NAN,Men's Windsurfer - RS:X
Sailing,NAN,Men's Windsurfing
Sailing,NAN,Mixed Dinghy
Sailing,NAN,Mixed Multihull
Sailing,NAN,Mixed Multihull - Nacra 17 Foiling Team
Sailing,NAN,Sailing Men's One Person Dinghy
Sailing,NAN,Sailing Men's One Person Heavyweight Dinghy
Sailing,NAN,Sailing Men's Skiff
Sailing,NAN,Sailing Men's Two Person Dinghy
Sailing,NAN,Sailing Men's Two Person Keelboat
Sailing,NAN,Sailing Men's Windsurfer
Sailing,NAN,Sailing Mixed 0-0.5 Ton
Sailing,NAN,Sailing Mixed 0.5-1 Ton
Sailing,NAN,Sailing Mixed 1-2 Ton
Sailing,NAN,Sailing Mixed 10 metres
Sailing,NAN,Sailing Mixed 10-20 Ton
Sailing,NAN,Sailing Mixed 12 foot
Sailing,NAN,Sailing Mixed 12 metres
Sailing,NAN,Sailing Mixed 18 foot
Sailing,NAN,Sailing Mixed 2-3 Ton
Sailing,NAN,Sailing Mixed 20+ Ton
Sailing,NAN,Sailing Mixed 3-10 Ton
Sailing,NAN,Sailing Mixed 30 metres
Sailing,NAN,Sailing Mixed 40 metres
Sailing,NAN,Sailing Mixed 5.5 metres
Sailing,NAN,Sailing Mixed 6 metres
Sailing,NAN,Sailing Mixed 6.5 metres
Sailing,NAN,Sailing Mixed 7 metres
Sailing,NAN,Sailing Mixed 8 metres
Sailing,NAN,Sailing Mixed Multihull
Sailing,NAN,Sailing Mixed One Person Dinghy
Sailing,NAN,Sailing Mixed Open
Sailing,NAN,Sailing Mixed Skiff
Sailing,NAN,Sailing Mixed Three Person Keelboat
Sailing,NAN,Sailing Mixed Two Person Dinghy
Sailing,NAN,Sailing Mixed Two Person Heavyweight Dinghy
Sailing,NAN,Sailing Mixed Two Person Keelboat
Sailing,NAN,Sailing Mixed Windsurfer
Sailing,NAN,Sailing Women's One Person Dinghy
Sailing,NAN,Sailing Women's Skiff
Sailing,NAN,Sailing Women's Three Person Keelboat
Sailing,NAN,Sailing Women's Two Person Dinghy
Sailing,NAN,Sailing Women's Windsurfer
Sailing,NAN,Women's Dinghy
Sailing,NAN,Women's Kite
Sailing,NAN,Women's One Person Dinghy - Laser Radial
Sailing,NAN,Women's Skiff
Sailing,NAN,Women's Skiff - 49er  Team
Sailing,NAN,Women's Two Person Dinghy - 470 Team
Sailing,NAN,Women's Windsurfer - RS:X
Sailing,NAN,Women's Windsurfing
Shooting,NAN,10m Air Pistol Men
Shooting,NAN,10m Air Pistol Mixed Team
Shooting,NAN,10m Air Pistol Women
Shooting,NAN,10m Air Rifle Men
Shooting,NAN,10m Air Rifle Mixed Team
Shooting,NAN,10m Air Rifle Women
Shooting,NAN,25m Pistol Women
Shooting,NAN,25m Rapid Fire Pistol Men
Shooting,NAN,50m Rifle 3 Positions Men
Shooting,NAN,50m Rifle 3 Positions Women
Shooting,NAN,"Shooting Men's Air Pistol, 10 metres"
Shooting,NAN,"Shooting Men's Air Rifle, 10 metres"
Shooting,NAN,Shooting Men's Double Trap
Shooting,NAN,"Shooting Men's Dueling Pistol Au Commandement, 25 metres"
Shooting,NAN,Shooting Men's Dueling Pistol Au Vise 20 metres
Shooting,NAN,"Shooting Men's Dueling Pistol, 30 metres"
Shooting,NAN,"Shooting Men's Dueling Pistol, 30 metres, Team"
Shooting,NAN,"Shooting Men's Free Pistol, 25 metres"
Shooting,NAN,"Shooting Men's Free Pistol, 30 metres"
Shooting,NAN,"Shooting Men's Free Pistol, 50 metres"
Shooting,NAN,"Shooting Men's Free Pistol, 50 metres, Team"
Shooting,NAN,"Shooting Men's Free Pistol, 50 yards"
Shooting,NAN,"Shooting Men's Free Pistol, 50 yards, Team"
Shooting,NAN,"Shooting Men's Free Rifle, 1,000 Yards"
Shooting,NAN,"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team"
Shooting,NAN,"Shooting Men's Free Rifle, Any Position, 300 metres"
Shooting,NAN,"Shooting Men's Free Rifle, Kneeling, 300 metres"
Shooting,NAN,"Shooting Men's Free Rifle, Prone, 300 metres"
Shooting,NAN,"Shooting Men's Free Rifle, Prone, 600 metres"
Shooting,NAN,"Shooting Men's Free Rifle, Standing, 300 metres"
Shooting,NAN,"Shooting Men's Free Rifle, Three Positions, 300 metres"
Shooting,NAN,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team"
Shooting,NAN,"Shooting Men's Military Pistol, 25 metres"
Shooting,NAN,"Shooting Men's Military Pistol, 30 metres"
Shooting,NAN,"Shooting Men's Military Pistol, Team"
Shooting,NAN,"Shooting Men's Military Revolver, 1873-1874 Gras Model, 20 metres"
Shooting,NAN,"Shooting Men's Military Revolver, 20 metres"
Shooting,NAN,"Shooting Men's Military Rifle, 1873-1874 Gras Model, Kneeling Or Standing, 200 metres"
Shooting,NAN,"Shooting Men's Military Rifle, 200 metres"
Shooting,NAN,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team"
Shooting,NAN,"Shooting Men's Military Rifle, 200/500/600/800/900/1,000 Yards, Team"
Shooting,NAN,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team"
Shooting,NAN,"Shooting Men's Military Rifle, Any Position, 600 metres"
Shooting,NAN,"Shooting Men's Military Rifle, Kneeling Or Standing, 300 metres"
Shooting,NAN,"Shooting Men's Military Rifle, Prone, 300 metres"
Shooting,NAN,"Shooting Men's Military Rifle, Prone, 300 metres, Team"
Shooting,NAN,"Shooting Men's Military Rifle, Prone, 600 metres"
Shooting,NAN,"Shooting Men's Military Rifle, Prone, 600 metres, Team"
Shooting,NAN,"Shooting Men's Military Rifle, Standing, 300 metres"
Shooting,NAN,"Shooting Men's Military Rifle, Standing, 300 metres, Team"
Shooting,NAN,"Shooting Men's Military Rifle, Three Positions, 300 metres"
Shooting,NAN,"Shooting Men's Muzzle-Loading Pistol, 25 metres"
Shooting,NAN,"Shooting Men's Rapid-Fire Pistol, 25 metres"
Shooting,NAN,"Shooting Men's Running Target, 10 metres"
Shooting,NAN,"Shooting Men's Running Target, 50 metres"
Shooting,NAN,"Shooting Men's Running Target, Double Shot"
Shooting,NAN,"Shooting Men's Running Target, Double Shot, Team"
Shooting,NAN,"Shooting Men's Running Target, Single And Double Shot"
Shooting,NAN,"Shooting Men's Running Target, Single Shot"
Shooting,NAN,"Shooting Men's Running Target, Single Shot, Team"
Shooting,NAN,Shooting Men's Skeet
Shooting,NAN,"Shooting Men's Small Bore-Rifle, Standing, 50 metres, Team"
Shooting,NAN,"Shooting Men's Small-Bore Rifle, 50 and 100 yards, Team"
Shooting,NAN,"Shooting Men's Small-Bore Rifle, Any Position, 50 metres"
Shooting,NAN,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres"
Shooting,NAN,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres, Team"
Shooting,NAN,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 yards"
Shooting,NAN,"Shooting Men's Small-Bore Rifle, Moving Target, 25 yards"
Shooting,NAN,"Shooting Men's Small-Bore Rifle, Prone, 50 and 100 yards"
Shooting,NAN,"Shooting Men's Small-Bore Rifle, Prone, 50 metres"
Shooting,NAN,"Shooting Men's Small-Bore Rifle, Prone, 50 metres, Team"
Shooting,NAN,"Shooting Men's Small-Bore Rifle, Standing, 50 metres"
Shooting,NAN,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres"
Shooting,NAN,Shooting Men's Trap
Shooting,NAN,"Shooting Men's Trap, Double Shot, 14 metres"
Shooting,NAN,"Shooting Men's Trap, Single Shot, 16 metres"
Shooting,NAN,"Shooting Men's Trap, Team"
Shooting,NAN,Shooting Men's Unknown Event
Shooting,NAN,"Shooting Mixed Free Pistol, 50 metres"
Shooting,NAN,"Shooting Mixed Free Rifle, Three Positions, 300 metres"
Shooting,NAN,"Shooting Mixed Rapid-Fire Pistol, 25 metres"
Shooting,NAN,"Shooting Mixed Running Target, 50 metres"
Shooting,NAN,Shooting Mixed Skeet
Shooting,NAN,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres"
Shooting,NAN,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres"
Shooting,NAN,Shooting Mixed Trap
Shooting,NAN,"Shooting Women's Air Pistol, 10 metres"
Shooting,NAN,"Shooting Women's Air Rifle, 10 metres"
Shooting,NAN,Shooting Women's Double Trap
Shooting,NAN,Shooting Women's Skeet
Shooting,NAN,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres"
Shooting,NAN,"Shooting Women's Sporting Pistol, 25 metres"
Shooting,NAN,Shooting Women's Trap
Shooting,NAN,Skeet Men
Shooting,NAN,Skeet Mixed Team
Shooting,NAN,Skeet Women
Shooting,NAN,Trap Men
Shooting,NAN,Trap Mixed Team
Shooting,NAN,Trap Women
Skateboarding,NAN,Men's Park
Skateboarding,NAN,Men's Street
Skateboarding,NAN,Women's Park
Skateboarding,NAN,Women's Street
Sport Climbing,NAN,Men's Boulder & Lead
Sport Climbing,NAN,Men's Combined
Sport Climbing,NAN,Men's Speed
Sport Climbing,NAN,Women's Boulder & Lead
Sport Climbing,NAN,Women's Combined
Sport Climbing,NAN,Women's Speed
Surfing,NAN,Men
Surfing,NAN,Women
Synchronized Swimming,NAN,Synchronized Swimming Women's Duet
Synchronized Swimming,NAN,Synchronized Swimming Women's Solo
Synchronized Swimming,NAN,Synchronized Swimming Women's Team
Synchronized Swimming,NaN,Synchronized Swimming Women's Duet
Table Tennis,NAN,Men's Singles
Table Tennis,NAN,Men's Team
Table Tennis,NAN,Mixed Doubles
Table Tennis,NAN,Mixed Doubles Team
Table Tennis,NAN,Table Tennis Men's Doubles
Table Tennis,NAN,Table Tennis Men's Singles
Table Tennis,NAN,Table Tennis Men's Team
Table Tennis,NAN,Table Tennis Women's Doubles
Table Tennis,NAN,Table Tennis Women's Singles
Table Tennis,NAN,Table Tennis Women's Team
Table Tennis,NAN,Women's Singles
Table Tennis,NAN,Women's Team
Taekwondo,NAN,Men +80kg
Taekwondo,NAN,Men -58kg
Taekwondo,NAN,Men -68kg
Taekwondo,NAN,Men -80kg
Taekwondo,NAN,Taekwondo Men's Featherweight
Taekwondo,NAN,Taekwondo Men's Flyweight
Taekwondo,NAN,Taekwondo Men's Heavyweight
Taekwondo,NAN,Taekwondo Men's Welterweight
Taekwondo,NAN,Taekwondo Women's Featherweight
Taekwondo,NAN,Taekwondo Women's Flyweight
Taekwondo,NAN,Taekwondo Women's Heavyweight
Taekwondo,NAN,Taekwondo Women's Welterweight
Taekwondo,NAN,Women +67kg
Taekwondo,NAN,Women -49kg
Taekwondo,NAN,Women -57kg
Taekwondo,NAN,Women -67kg
Tennis,NAN,Men's Doubles
Tennis,NAN,Men's Doubles Team
Tennis,NAN,Men's Singles
Tennis,NAN,Mixed Doubles
Tennis,NAN,Mixed Doubles Team
Tennis,NAN,Tennis Men's Doubles
Tennis,NAN,"Tennis Men's Doubles, Covered Courts"
Tennis,NAN,Tennis Men's Singles
Tennis,NAN,"Tennis Men's Singles, Covered Courts"
Tennis,NAN,Tennis Mixed Doubles
Tennis,NAN,"Tennis Mixed Doubles, Covered Courts"
Tennis,NAN,Tennis Women's Doubles
Tennis,NAN,Tennis Women's Singles
Tennis,NAN,"Tennis Women's Singles, Covered Courts"
Tennis,NAN,Women's Doubles
Tennis,NAN,Women's Doubles Team
Tennis,NAN,Women's Singles
Trampoline Gymnastics,NAN,Men
Trampoline Gymnastics,NAN,Women
Trampoline Gymnastics,NaN,Men
Trampolining,NAN,Trampolining Men's Individual
Trampolining,NAN,Trampolining Women's Individual
Trampolining,NaN,Trampolining Men's Individual
Triathlon,NAN,Men's Individual
Triathlon,NAN,Mixed Relay
Triathlon,NAN,Mixed Relay Team
Triathlon,NAN,Triathlon Men's Olympic Distance
Triathlon,NAN,Triathlon Women's Olympic Distance
Triathlon,NAN,Women's Individual
Tug-Of-War,NAN,Tug-Of-War Men's Tug-Of-War
Tug-Of-War,NaN,Tug-Of-War Men's Tug-Of-War
Volleyball,NAN,Men
Volleyball,NAN,Men Team
Volleyball,NAN,Volleyball Men's Volleyball
Volleyball,NAN,Volleyball Women's Volleyball
Volleyball,NAN,Women
Volleyball,NAN,Women Team
Weightlifting,NAN,Men's +102kg
Weightlifting,NAN,Men's +109kg
Weightlifting,NAN,Men's 102kg
Weightlifting,NAN,Men's 109kg
Weightlifting,NAN,Men's 61kg
Weightlifting,NAN,Men's 67kg
Weightlifting,NAN,Men's 73kg
Weightlifting,NAN,Men's 81kg
Weightlifting,NAN,Men's 89kg
Weightlifting,NAN,Men's 96kg
Weightlifting,NAN,Weightlifting Men's All-Around Dumbbell Contest
Weightlifting,NAN,Weightlifting Men's Bantamweight
Weightlifting,NAN,Weightlifting Men's Featherweight
Weightlifting,NAN,Weightlifting Men's Flyweight
Weightlifting,NAN,Weightlifting Men's Heavyweight
Weightlifting,NAN,Weightlifting Men's Heavyweight I
Weightlifting,NAN,Weightlifting Men's Heavyweight II
Weightlifting,NAN,Weightlifting Men's Light-Heavyweight
Weightlifting,NAN,Weightlifting Men's Lightweight
Weightlifting,NAN,Weightlifting Men's Middle-Heavyweight
Weightlifting,NAN,Weightlifting Men's Middleweight
Weightlifting,NAN,Weightlifting Men's Super-Heavyweight
Weightlifting,NAN,"Weightlifting Men's Unlimited, One Hand"
Weightlifting,NAN,"Weightlifting Men's Unlimited, Two Hands"
Weightlifting,NAN,Weightlifting Women's Featherweight
Weightlifting,NAN,Weightlifting Women's Flyweight
Weightlifting,NAN,Weightlifting Women's Heavyweight
Weightlifting,NAN,Weightlifting Women's Light-Heavyweight
Weightlifting,NAN,Weightlifting Women's Lightweight
Weightlifting,NAN,Weightlifting Women's Middleweight
Weightlifting,NAN,Weightlifting Women's Super-Heavyweight
Weightlifting,NAN,Women's +81kg
Weightlifting,NAN,Women's +87kg
Weightlifting,NAN,Women's 49kg
Weightlifting,NAN,Women's 55kg
Weightlifting,NAN,Women's 59kg
Weightlifting,NAN,Women's 64kg
Weightlifting,NAN,Women's 71kg
Weightlifting,NAN,Women's 76kg
Weightlifting,NAN,Women's 81kg
Weightlifting,NAN,Women's 87kg
Wrestling,NAN,Men's Freestyle 125kg
Wrestling,NAN,Men's Freestyle 57kg
Wrestling,NAN,Men's Freestyle 65kg
Wrestling,NAN,Men's Freestyle 74kg
Wrestling,NAN,Men's Freestyle 86kg
Wrestling,NAN,Men's Freestyle 97kg
Wrestling,NAN,Men's Greco-Roman 130kg
Wrestling,NAN,Men's Greco-Roman 60kg
Wrestling,NAN,Men's Greco-Roman 67kg
Wrestling,NAN,Men's Greco-Roman 77kg
Wrestling,NAN,Men's Greco-Roman 87kg
Wrestling,NAN,Men's Greco-Roman 97kg
Wrestling,NAN,Women's Freestyle 50kg
Wrestling,NAN,Women's Freestyle 53kg
Wrestling,NAN,Women's Freestyle 57kg
Wrestling,NAN,Women's Freestyle 62kg
Wrestling,NAN,Women's Freestyle 68kg
Wrestling,NAN,Women's Freestyle 76kg
Wrestling,NAN,"Wrestling Men's All-Around, Greco-Roman"
Wrestling,NAN,"Wrestling Men's Bantamweight, Freestyle"
Wrestling,NAN,"Wrestling Men's Bantamweight, Greco-Roman"
Wrestling,NAN,"Wrestling Men's Featherweight, Freestyle"
Wrestling,NAN,"Wrestling Men's Featherweight, Greco-Roman"
Wrestling,NAN,"Wrestling Men's Flyweight, Freestyle"
Wrestling,NAN,"Wrestling Men's Flyweight, Greco-Roman"
Wrestling,NAN,"Wrestling Men's Heavyweight, Freestyle"
Wrestling,NAN,"Wrestling Men's Heavyweight, Greco-Roman"
Wrestling,NAN,"Wrestling Men's Light-Flyweight, Freestyle"
Wrestling,NAN,"Wrestling Men's Light-Flyweight, Greco-Roman"
Wrestling,NAN,"Wrestling Men's Light-Heavyweight, Freestyle"
Wrestling,NAN,"Wrestling Men's Light-Heavyweight, Greco-Roman"
Wrestling,NAN,"Wrestling Men's Lightweight, Freestyle"
Wrestling,NAN,"Wrestling Men's Lightweight, Greco-Roman"
Wrestling,NAN,"Wrestling Men's Middleweight A, Greco-Roman"
Wrestling,NAN,"Wrestling Men's Middleweight B, Greco-Roman"
Wrestling,NAN,"Wrestling Men's Middleweight, Freestyle"
Wrestling,NAN,"Wrestling Men's Middleweight, Greco-Roman"
Wrestling,NAN,"Wrestling Men's Super-Heavyweight, Freestyle"
Wrestling,NAN,"Wrestling Men's Super-Heavyweight, Greco-Roman"
Wrestling,NAN,"Wrestling Men's Unlimited Class, Greco-Roman"
Wrestling,NAN,"Wrestling Men's Welterweight, Freestyle"
Wrestling,NAN,"Wrestling Men's Welterweight, Greco-Roman"
Wrestling,NAN,"Wrestling Women's Featherweight, Freestyle"
Wrestling,NAN,"Wrestling Women's Flyweight, Freestyle"
Wrestling,NAN,"Wrestling Women's Heavyweight, Freestyle"
Wrestling,NAN,"Wrestling Women's Light-Heavyweight, Freestyle"
Wrestling,NAN,"Wrestling Women's Lightweight, Freestyle"
Wrestling,NAN,"Wrestling Women's Middleweight, Freestyle"
